ticker,hedged_pnl,unhedged_pnl
AAPL,0.38370777852509264,-14.934221565253893
AAPL,-0.008141066530269091,5.307731001270213
AAPL,0.18777549425030315,5.307731001270213
AAPL,1.1816511670703471,5.307731001270213
AAPL,-0.5506283139014585,5.307731001270213
AAPL,0.980962345920501,5.307731001270213
AAPL,0.7872897558539194,2.877103510201323
AAPL,1.062364475688927,5.307731001270213
AAPL,0.0974695928873075,-16.35083131644376
AAPL,-2.452682859940438,5.307731001270213
AAPL,1.2895662803782102,0.19499863239269644
AAPL,0.8749855489144807,5.307731001270213
AAPL,1.3095877470536728,5.307731001270213
AAPL,0.5333040826763806,2.334274987915876
AAPL,-0.9852219714043144,-10.0069686953384
AAPL,-1.563819291403604,-0.12117290490897403
AAPL,0.27231458998911623,5.307731001270213
AAPL,-0.4787543657801834,5.307731001270213
AAPL,2.9210624083382726,5.115288352541711
AAPL,0.2574595863050888,0.6118414687065865
AAPL,0.30751565912555634,-14.192197794623098
AAPL,1.0896857980902093,5.307731001270213
AAPL,-1.4190702456113513,-9.006454134964144
AAPL,0.9028974245232178,5.307731001270213
AAPL,1.3542048059519232,5.307731001270213
AAPL,0.6344311652568422,-3.0543756312876553
AAPL,-3.3739724356534566,-32.368218958126306
AAPL,-3.140699773830079,5.307731001270213
AAPL,1.6942224502343208,5.307731001270213
AAPL,-0.4657934773842385,2.4107254423906284
AAPL,1.2302407123508878,5.307731001270213
AAPL,-1.3518035274524323,-8.449895750585029
AAPL,-4.542972857500745,5.307731001270213
AAPL,-1.8815768301005846,5.307731001270213
AAPL,3.3656786689997205,4.954756428721055
AAPL,-1.0689727722478324,-2.933031971280002
AAPL,2.1859968270541827,5.307731001270213
AAPL,0.8220091496003761,-6.832850555376126
AAPL,1.3571973164622477,-4.1170862881903645
AAPL,0.12176591142116422,-10.943382297731603
AAPL,-1.1745136448301992,-2.7320752230761514
AAPL,2.1263062634835705,2.21090252402189
AAPL,1.5160482174667926,5.307731001270213
AAPL,-0.16936857251966977,5.307731001270213
