Date,UNH,JNJ,ABBV,LLY,PFE
2014-01-02 05:00:00,60.677772521972656,64.499267578125,31.423620223999023,40.1484375,16.69078254699707
2014-01-03 05:00:00,61.109046936035156,65.08028411865234,31.617063522338867,40.441253662109375,16.72365951538086
2014-01-06 05:00:00,60.40925598144531,65.42037200927734,30.462419509887695,40.78155517578125,16.740093231201172
2014-01-07 05:00:00,62.25636672973633,66.80916595458984,30.52288246154785,40.512474060058594,16.844209671020508
2014-01-08 05:00:00,61.532169342041016,66.717041015625,30.44427490234375,40.44915771484375,16.95928192138672
2014-01-09 05:00:00,61.906490325927734,67.12091827392578,30.96416664123535,40.9002799987793,16.948322296142578
2014-01-10 05:00:00,60.7835578918457,67.12801361083984,30.770732879638672,41.098121643066406,16.816814422607422
2014-01-13 05:00:00,60.1651496887207,66.95796966552734,30.362478256225586,41.208927154541016,16.734617233276367
2014-01-14 05:00:00,60.23023223876953,67.11383056640625,30.8316650390625,41.50175476074219,16.98668098449707
2014-01-15 05:00:00,60.89749526977539,67.1705093383789,30.53308868408203,42.2694206237793,17.085304260253906
2014-01-16 05:00:00,59.204994201660156,67.05716705322266,30.77072525024414,43.765201568603516,17.07982635498047
2014-01-17 05:00:00,59.00969696044922,67.35477447509766,30.502634048461914,43.65439224243164,17.03599739074707
2014-01-21 05:00:00,59.53047180175781,66.62493896484375,30.466079711914062,43.99470520019531,17.11270523071289
2014-01-22 05:00:00,59.72575378417969,66.83039855957031,29.905487060546875,44.00261306762695,17.134628295898438
2014-01-23 05:00:00,59.563018798828125,65.71090698242188,29.777536392211914,43.6464729309082,16.992156982421875
2014-01-24 05:00:00,58.26109313964844,64.20170593261719,29.119470596313477,42.83132553100586,16.488035202026367
2014-01-27 05:00:00,58.30177688598633,63.72694396972656,28.534507751464844,42.83924102783203,16.252416610717773
2014-01-28 05:00:00,58.35060501098633,63.8403205871582,29.05853843688965,42.91838836669922,16.668869018554688
2014-01-29 05:00:00,57.98444366455078,62.990081787109375,29.009780883789062,42.66511917114258,16.498991012573242
2014-01-30 05:00:00,59.23753356933594,63.415218353271484,29.43631362915039,42.15862274169922,16.88804817199707
2014-01-31 05:00:00,58.81439971923828,62.68538284301758,29.99688148498535,42.744266510009766,16.657901763916016
2014-02-03 05:00:00,57.56130599975586,61.487937927246094,28.851360321044922,41.67584991455078,16.76749610900879
2014-02-04 05:00:00,57.374141693115234,61.37459182739258,29.216955184936523,42.024085998535156,17.227779388427734
2014-02-05 05:00:00,57.62640380859375,61.84222412109375,29.08289909362793,41.72334671020508,16.934938430786133
2014-02-06 05:00:00,57.667091369628906,62.8837890625,29.204769134521484,41.72334671020508,17.0399169921875
2014-02-07 05:00:00,58.0657844543457,63.797828674316406,29.789718627929688,42.11113739013672,17.249876022338867
2014-02-10 05:00:00,56.747615814208984,64.5276107788086,30.191879272460938,42.71260452270508,17.388011932373047
2014-02-11 05:00:00,57.463653564453125,65.87387084960938,30.25890350341797,43.13996887207031,17.614553451538086
