Date,PG,KO,WMT,PEP,COST
2014-01-02 05:00:00,56.17314529418945,27.532833099365234,20.726396560668945,56.275840759277344,93.46676635742188
2014-01-03 05:00:00,56.11041259765625,27.39739990234375,20.658109664916992,56.37181091308594,93.05420684814453
2014-01-06 05:00:00,56.24292755126953,27.268739700317383,20.54253578186035,56.39923858642578,92.3481216430664
2014-01-07 05:00:00,56.78695297241211,27.350004196166992,20.605573654174805,57.22176742553711,91.91968536376953
2014-01-08 05:00:00,55.96394348144531,27.045286178588867,20.442724227905273,57.05726623535156,90.48368835449219
2014-01-09 05:00:00,56.08949279785156,26.903079986572266,20.511014938354492,56.78993606567383,94.02210235595703
2014-01-10 05:00:00,56.005794525146484,27.173946380615234,20.49788475036621,57.23549270629883,93.49846649169922
2014-01-13 05:00:00,55.803558349609375,26.767650604248047,20.353424072265625,56.46091079711914,91.05493927001953
2014-01-14 05:00:00,56.403358459472656,26.875980377197266,20.476869583129883,56.46091079711914,92.21324920654297
2014-01-15 05:00:00,56.3475456237793,26.92338752746582,20.3980712890625,56.81733703613281,92.22118377685547
2014-01-16 05:00:00,56.1871223449707,26.88953399658203,20.16167640686035,56.79679489135742,91.68170166015625
2014-01-17 05:00:00,55.71287155151367,26.598363876342773,20.011964797973633,56.34436798095703,92.26084899902344
2014-01-21 05:00:00,55.9221076965332,27.031734466552734,19.920034408569336,56.83791732788086,91.181884765625
2014-01-22 05:00:00,55.67755889892578,27.018199920654297,19.791324615478516,56.78993606567383,90.24569702148438
2014-01-23 05:00:00,54.981868743896484,26.5712890625,19.68889617919922,56.50204086303711,89.49200439453125
2014-01-24 05:00:00,55.64242172241211,26.300416946411133,19.547056198120117,55.81659698486328,88.96044921875
2014-01-27 05:00:00,55.14346694946289,26.225950241088867,19.47614097595215,56.24842071533203,89.7141342163086
2014-01-28 05:00:00,55.59321212768555,26.320735931396484,19.612730026245117,56.426631927490234,90.74552917480469
2014-01-29 05:00:00,54.56019973754883,25.663904190063477,19.463008880615234,54.987205505371094,89.03975677490234
2014-01-30 05:00:00,54.01912307739258,25.846729278564453,19.63373565673828,55.57668685913086,89.43645477294922
2014-01-31 05:00:00,53.84342575073242,25.6097354888916,19.615352630615234,55.08314514160156,89.14290618896484
