Date,XOM,CVX,COP,SLB,OXY
2014-01-02 05:00:00,59.712337493896484,73.3571548461914,46.372779846191406,63.43427276611328,62.13937759399414
2014-01-03 05:00:00,59.56867980957031,73.48124694824219,46.49241256713867,63.098609924316406,61.92089080810547
2014-01-06 05:00:00,59.65845489501953,73.2862319946289,46.6917839050293,62.86294174194336,62.10626983642578
2014-01-07 05:00:00,60.502532958984375,73.90673828125,46.76488494873047,62.498687744140625,63.26498794555664
2014-01-08 05:00:00,60.30498504638672,72.85486602783203,46.312984466552734,62.12017059326172,62.761775970458984
2014-01-09 05:00:00,59.71831130981445,72.85486602783203,46.16010665893555,61.7630729675293,62.794891357421875
2014-01-10 05:00:00,60.173255920410156,71.507568359375,45.768043518066406,62.970035552978516,62.13937759399414
2014-01-13 05:00:00,58.9940071105957,70.4675521850586,45.01709747314453,62.46299362182617,60.60990524291992
2014-01-14 05:00:00,59.33522415161133,70.65666961669922,45.40252685546875,63.4699821472168,61.11972427368164
2014-01-15 05:00:00,59.13167953491211,70.42618560791016,45.24303436279297,63.484275817871094,60.55696105957031
2014-01-16 05:00:00,59.227455139160156,70.21936798095703,45.076881408691406,63.2842903137207,60.76218032836914
2014-01-17 05:00:00,59.35915756225586,70.49117279052734,44.86424255371094,64.42698669433594,59.967674255371094
2014-01-21 05:00:00,58.96405792236328,71.12347412109375,45.36265563964844,65.05547332763672,59.570404052734375
2014-01-22 05:00:00,58.592933654785156,71.16484069824219,45.435760498046875,65.14118194580078,60.22589111328125
2014-01-23 05:00:00,58.04817199707031,69.9593505859375,45.0902099609375,64.46272277832031,59.20622253417969
2014-01-24 05:00:00,56.77909469604492,68.71842193603516,44.23955535888672,62.95576477050781,58.26604461669922
2014-01-27 05:00:00,56.82099914550781,68.8011474609375,43.76772689819336,62.78436279296875,57.66351318359375
2014-01-28 05:00:00,57.25798797607422,69.0434341430664,44.00031280517578,62.6772346496582,58.471290588378906
2014-01-29 05:00:00,56.934757232666016,68.54705810546875,43.741153717041016,62.348716735839844,58.146820068359375
2014-01-30 05:00:00,56.2642707824707,68.8129653930664,43.69461441040039,63.427120208740234,58.464664459228516
2014-01-31 05:00:00,55.16881561279297,65.9646987915039,43.16297149658203,62.54154968261719,57.9813117980957
2014-02-03 05:00:00,53.905731201171875,65.67515563964844,42.438621520996094,61.58452224731445,57.76282501220703
2014-02-04 05:00:00,53.88776397705078,65.49198913574219,42.338924407958984,62.27016067504883,57.69661331176758
2014-02-05 05:00:00,53.62434768676758,64.7178955078125,42.17279815673828,61.53456115722656,57.79593276977539
2014-02-06 05:00:00,54.13680648803711,65.7519760131836,42.731014251708984,63.212886810302734,58.583839416503906
2014-02-07 05:00:00,54.60704803466797,66.21293640136719,43.17628479003906,63.919944763183594,59.98091506958008
2014-02-10 05:00:00,53.96800994873047,66.00019073486328,42.91708755493164,63.591400146484375,60.047096252441406
2014-02-11 05:00:00,54.76375961303711,67.11701202392578,43.57499313354492,64.54126739501953,60.6496467590332
2014-02-12 05:00:00,54.90848922729492,66.78913116455078,43.34241485595703,64.29844665527344,61.0402946472168
2014-02-13 05:00:00,55.11948013305664,67.07526397705078,43.46331024169922,64.46272277832031,61.093238830566406
2014-02-14 05:00:00,56.73513412475586,67.65357208251953,44.01408004760742,64.88594818115234,63.40403366088867
2014-02-18 05:00:00,56.71103286743164,67.19451904296875,43.906612396240234,65.01508331298828,63.74835205078125
2014-02-19 05:00:00,56.638675689697266,67.72509002685547,43.6580924987793,64.90745544433594,62.86109161376953
2014-02-20 05:00:00,57.494747161865234,68.32127380371094,43.60435104370117,65.30203247070312,63.165687561035156
2014-02-21 05:00:00,57.28974533081055,67.17666625976562,43.44316482543945,64.61336517333984,63.15904998779297
2014-02-24 05:00:00,58.13978576660156,68.0530014038086,44.61186981201172,66.51438903808594,63.609283447265625
2014-02-25 05:00:00,58.06142807006836,68.54186248779297,44.67902755737305,66.39959716796875,63.4437370300293
2014-02-26 05:00:00,57.74793243408203,68.86380004882812,44.41706848144531,66.24893951416016,63.03324890136719
2014-02-27 05:00:00,57.778079986572266,68.97110748291016,44.4976692199707,66.40678405761719,63.25173568725586
2014-02-28 05:00:00,58.03731918334961,68.75648498535156,44.66558837890625,66.71524047851562,63.907230377197266
2014-03-03 05:00:00,57.5731086730957,68.46435546875,44.5379638671875,65.46702575683594,63.59604263305664
2014-03-04 05:00:00,58.18801498413086,68.75053405761719,44.66558837890625,66.34937286376953,64.37071990966797
2014-03-05 05:00:00,56.54824447631836,68.21990966796875,44.531253814697266,66.00507354736328,64.12572479248047
2014-03-06 05:00:00,56.524131774902344,68.47032928466797,44.591705322265625,66.53589630126953,64.2191390991211
2014-03-07 05:00:00,57.26565933227539,68.60746002197266,44.67228317260742,66.70088195800781,64.79280853271484
2014-03-10 04:00:00,57.5731086730957,69.060546875,44.92752456665039,66.62199401855469,64.85285186767578
2014-03-11 04:00:00,56.67483901977539,68.26763153076172,44.68571853637695,65.96200561523438,64.31253814697266
2014-03-12 04:00:00,56.79542541503906,68.94725799560547,44.69245147705078,65.40245056152344,64.29916381835938
2014-03-13 04:00:00,56.45177459716797,68.23186492919922,44.54469680786133,64.75685119628906,63.91228103637695
2014-03-14 04:00:00,56.34929275512695,68.02318572998047,44.73274230957031,63.91033172607422,64.38587951660156
2014-03-17 04:00:00,56.861717224121094,68.60148620605469,45.19620132446289,64.40531921386719,64.60603332519531
2014-03-18 04:00:00,57.09685516357422,69.29900360107422,45.740234375,64.92183685302734,64.87950897216797
2014-03-19 04:00:00,56.506046295166016,68.67899322509766,45.33725357055664,64.82141876220703,63.46536636352539
2014-03-20 04:00:00,57.018470764160156,68.86380004882812,45.60590362548828,65.35941314697266,61.991111755371094
2014-03-21 04:00:00,56.85572052001953,68.93536376953125,45.323822021484375,66.47852325439453,62.751583099365234
2014-03-24 04:00:00,57.05466079711914,69.06649017333984,45.37754821777344,66.88026428222656,62.61815643310547
2014-03-25 04:00:00,57.21741485595703,69.80575561523438,45.935035705566406,68.55167388916016,63.13847732543945
2014-03-26 04:00:00,57.0908203125,70.17537689208984,46.07609176635742,68.45845031738281,62.398040771484375
2014-03-27 04:00:00,58.01922607421875,70.15155792236328,46.53953170776367,69.2188720703125,63.13179397583008
2014-03-28 04:00:00,58.899383544921875,70.64636993408203,47.25147247314453,69.99363708496094,63.738834381103516
2014-03-31 04:00:00,58.8873291015625,70.8907699584961,47.25147247314453,69.94339752197266,63.56539535522461
2014-04-01 04:00:00,58.91748809814453,70.94444274902344,47.22461700439453,70.27339935302734,63.30522537231445
2014-04-02 04:00:00,59.05010223388672,71.15309143066406,47.61418533325195,70.07972717285156,64.0523681640625
2014-04-03 04:00:00,59.03806686401367,70.96827697753906,47.1507453918457,70.35231018066406,64.37921905517578
2014-04-04 04:00:00,58.69441604614258,70.82518005371094,47.1641845703125,70.32361602783203,63.07176208496094
2014-04-07 04:00:00,58.34476089477539,69.95482635498047,46.667144775390625,70.01514434814453,62.43138122558594
2014-04-08 04:00:00,58.74867630004883,70.22904968261719,47.063438415527344,70.61772918701172,63.33860778808594
