Date,AMT,PLD,O,PSA,EQIX
2014-01-02 05:00:00,58.898216247558594,25.436792373657227,19.996360778808594,92.20067596435547,128.53086853027344
2014-01-03 05:00:00,59.06874465942383,25.664207458496094,20.19980812072754,92.9187240600586,127.54536437988281
2014-01-06 05:00:00,59.44681167602539,25.774477005004883,20.306886672973633,92.86921691894531,128.10433959960938
2014-01-07 05:00:00,60.269676208496094,26.001895904541016,20.40860366821289,92.76396942138672,132.083251953125
2014-01-08 05:00:00,60.744140625,25.967443466186523,20.173038482666016,92.93112182617188,132.59803771972656
2014-01-09 05:00:00,60.86275863647461,25.636655807495117,20.22658348083496,94.73857879638672,130.53872680664062
2014-01-10 05:00:00,61.26305389404297,25.912315368652344,20.6441707611084,95.48757934570312,131.65664672851562
2014-01-13 05:00:00,60.892398834228516,25.326528549194336,20.49961280822754,95.30187225341797,128.6486053466797
2014-01-14 05:00:00,61.27790451049805,25.650436401367188,20.713773727416992,96.39752197265625,131.4580841064453
2014-01-15 05:00:00,61.722686767578125,25.850290298461914,20.756595611572266,95.97038269042969,132.0390625
2014-01-16 05:00:00,61.7301025390625,25.69866943359375,20.6441707611084,96.57086944580078,132.00234985351562
2014-01-17 05:00:00,61.64112091064453,25.485031127929688,20.563859939575195,95.92709350585938,129.34732055664062
2014-01-21 05:00:00,61.996971130371094,25.73312759399414,21.040340423583984,95.96422576904297,131.86260986328125
2014-01-22 05:00:00,61.8412971496582,26.015682220458984,21.168848037719727,96.14373779296875,131.6272430419922
2014-01-23 05:00:00,61.737510681152344,25.788251876831055,21.168848037719727,95.61141204833984,134.32643127441406
2014-01-24 05:00:00,59.024269104003906,25.31963539123535,21.168848037719727,94.34862518310547,135.2384490966797
2014-01-27 05:00:00,58.74996566772461,25.161128997802734,21.23843765258789,94.47858428955078,133.17172241210938
2014-01-28 05:00:00,59.72107696533203,25.65732192993164,21.70956039428711,95.77851104736328,134.29702758789062
2014-01-29 05:00:00,58.97978210449219,25.505706787109375,21.70421600341797,95.64234924316406,134.32643127441406
2014-01-30 05:00:00,60.18072509765625,26.74618911743164,21.92578887939453,97.0660629272461,135.57675170898438
2014-01-31 05:00:00,59.95832443237305,26.711729049682617,21.931167602539062,97.54889678955078,136.20921325683594
2014-02-03 05:00:00,58.4385871887207,26.305133819580078,21.361108779907227,96.47798919677734,131.75222778320312
2014-02-04 05:00:00,58.66843795776367,26.704837799072266,21.468669891357422,98.1554946899414,135.31930541992188
2014-02-05 05:00:00,58.57204818725586,26.959827423095703,21.603116989135742,97.74078369140625,133.1276092529297
2014-02-06 05:00:00,59.12803649902344,27.2768497467041,21.64613914489746,98.05645751953125,134.6352996826172
2014-02-07 05:00:00,59.587669372558594,27.518049240112305,21.812847137451172,99.19544219970703,137.0255889892578
2014-02-10 05:00:00,60.43274688720703,27.800609588623047,22.04410743713379,100.30963134765625,139.6880340576172
2014-02-11 05:00:00,60.729312896728516,27.993558883666992,22.060237884521484,101.13288116455078,140.28375244140625
2014-02-12 05:00:00,60.6329345703125,28.055585861206055,22.151655197143555,101.21339416503906,140.2910919189453
2014-02-13 05:00:00,61.151859283447266,28.138288497924805,22.307615280151367,101.83855438232422,141.1000518798828
2014-02-14 05:00:00,61.67820739746094,28.028026580810547,22.436687469482422,102.59992218017578,142.12240600585938
2014-02-18 05:00:00,61.92283248901367,28.117612838745117,22.818527221679688,103.31800079345703,142.6960906982422
2014-02-19 05:00:00,62.08591842651367,28.062484741210938,22.90458106994629,103.03323364257812,141.6664581298828
2014-02-20 05:00:00,62.649314880371094,27.83506202697754,23.07666778564453,103.19420623779297,138.23171997070312
2014-02-21 05:00:00,62.30833435058594,27.986679077148438,23.345563888549805,103.02710723876953,139.3202667236328
2014-02-24 05:00:00,61.51510238647461,28.041812896728516,23.619836807250977,103.18800354003906,139.58505249023438
2014-02-25 05:00:00,59.42457580566406,28.19342613220215,23.877973556518555,103.78225708007812,138.6363067626953
2014-02-26 05:00:00,59.92125701904297,28.26922607421875,23.931751251220703,103.44178771972656,139.7394561767578
