Date,AAPL,MSFT,NVDA,GOOGL,META
2014-01-02 05:00:00,17.110132217407227,30.694435119628906,0.37340855598449707,27.611021041870117,54.23374557495117
2014-01-03 05:00:00,16.734289169311523,30.487945556640625,0.36893513798713684,27.409605026245117,54.085044860839844
2014-01-06 05:00:00,16.825542449951172,29.843650817871094,0.37387943267822266,27.7152042388916,56.70207214355469
2014-01-07 05:00:00,16.705211639404297,30.07493782043457,0.3800010085105896,28.2495059967041,57.41579818725586
2014-01-08 05:00:00,16.81100845336914,29.53803253173828,0.38518059253692627,28.30829429626465,57.72309875488281
2014-01-09 05:00:00,16.596328735351562,29.348031997680664,0.3708186447620392,28.035686492919922,56.72188949584961
2014-01-10 05:00:00,16.485586166381836,29.769302368164062,0.3703477680683136,28.034198760986328,57.43562316894531
2014-01-13 05:00:00,16.57188606262207,28.89375114440918,0.3616364300251007,27.855602264404297,55.42329788208008
2014-01-14 05:00:00,16.90164566040039,29.554550170898438,0.3729376494884491,28.51095199584961,57.237369537353516
2014-01-15 05:00:00,17.240976333618164,30.36404037475586,0.3769402801990509,28.49160385131836,57.09858322143555
2014-01-16 05:00:00,17.144771575927734,30.471412658691406,0.37811732292175293,28.68012046813965,56.6921501159668
2014-01-17 05:00:00,16.724702835083008,30.050155639648438,0.37646928429603577,28.538982391357422,55.80989456176758
2014-01-21 05:00:00,16.98453712463379,29.876686096191406,0.37788188457489014,28.86566925048828,58.00066375732422
2014-01-22 05:00:00,17.060012817382812,29.678443908691406,0.3774110972881317,28.898406982421875,57.00936508178711
2014-01-23 05:00:00,17.204471588134766,29.78583335876465,0.3759983479976654,28.7763671875,56.137027740478516
2014-01-24 05:00:00,16.891742706298828,30.40534210205078,0.3663453459739685,27.876684188842773,53.976016998291016
2014-01-27 05:00:00,17.02877426147461,29.761049270629883,0.3639908730983734,27.316091537475586,53.083839416503906
2014-01-28 05:00:00,15.66771411895752,29.95929718017578,0.3675225079059601,27.85634422302246,54.659996032714844
2014-01-29 05:00:00,15.48984432220459,30.281444549560547,0.3639908730983734,27.457231521606445,53.06401824951172
2014-01-30 05:00:00,15.459833145141602,30.446645736694336,0.3701123595237732,28.163433074951172,60.54829788208008
2014-01-31 05:00:00,15.485204696655273,31.25611686706543,0.3696414828300476,29.294048309326172,62.02531814575195
2014-02-03 05:00:00,15.5139741897583,30.132761001586914,0.3646971583366394,28.11481475830078,60.94481658935547
2014-02-04 05:00:00,15.738543510437012,30.025379180908203,0.36681631207466125,28.232141494750977,62.20375442504883
2014-02-05 05:00:00,15.856095314025879,29.58759880065918,0.3635201156139374,28.357160568237305,61.64862823486328
2014-02-06 05:00:00,15.948518753051758,29.884950637817383,0.36822885274887085,28.772891998291016,61.61888885498047
2014-02-07 05:00:00,16.171630859375,30.198837280273438,0.3736439645290375,29.20648765563965,63.76008224487305
2014-02-10 05:00:00,16.461349487304688,30.397075653076172,0.3748212158679962,29.094615936279297,62.99679183959961
2014-02-11 05:00:00,16.678241729736328,30.702693939208984,0.38259056210517883,29.52250099182129,64.28549194335938
2014-02-12 05:00:00,16.677000045776367,30.950498580932617,0.3962463140487671,29.43593406677246,63.888954162597656
2014-02-13 05:00:00,16.94182014465332,31.066143035888672,0.4087246358394623,29.763607025146484,66.7438735961914
2014-02-14 05:00:00,16.928129196166992,31.07440757751465,0.42167380452156067,29.835540771484375,66.50596618652344
2014-02-18 05:00:00,16.9903621673584,31.140981674194336,0.4214383661746979,30.035966873168945,66.71415710449219
2014-02-19 05:00:00,16.722116470336914,31.215869903564453,0.42708897590637207,29.82413101196289,67.46752166748047
2014-02-20 05:00:00,16.528560638427734,31.41560935974121,0.4421570897102356,29.868040084838867,69.02386474609375
2014-02-21 05:00:00,16.34496307373047,31.607011795043945,0.4388609826564789,29.860097885131836,67.99291229248047
2014-02-24 05:00:00,16.416534423828125,31.36566162109375,0.4452178180217743,30.076396942138672,70.16385650634766
2014-02-25 05:00:00,16.24569320678711,31.2408504486084,0.44320768117904663,30.262191772460938,69.24193572998047
2014-02-26 05:00:00,16.099132537841797,31.182594299316406,0.442498117685318,30.266407012939453,68.6570816040039
2014-02-27 05:00:00,16.420270919799805,31.507156372070312,0.43753156065940857,30.242589950561523,68.3398666381836
2014-02-28 05:00:00,16.375770568847656,31.881641387939453,0.43469351530075073,30.1542911529541,67.86404418945312
2014-03-03 05:00:00,16.423067092895508,31.44057273864746,0.4325648844242096,29.83281135559082,66.82318115234375
