Date,JPM,BAC,GS,WFC,MS
2014-01-02 05:00:00,41.7945671081543,12.54671573638916,139.08729553222656,31.637386322021484,22.400226593017578
2014-01-03 05:00:00,42.11767578125,12.788299560546875,140.07803344726562,31.862272262573242,22.74674415588379
2014-01-06 05:00:00,42.361785888671875,12.983121871948242,141.0373077392578,31.918481826782227,22.82615089416504
2014-01-07 05:00:00,41.87355041503906,12.858433723449707,140.1881561279297,31.90443992614746,22.753957748413086
2014-01-08 05:00:00,42.268436431884766,12.92077922821045,140.30609130859375,32.269866943359375,22.782835006713867
2014-01-09 05:00:00,42.1894645690918,13.11560344696045,139.48831176757812,32.43851852416992,22.775617599487305
2014-01-10 05:00:00,41.99561309814453,13.068845748901367,140.2667694091797,32.283912658691406,22.59514617919922
2014-01-13 05:00:00,41.42839813232422,12.80388355255127,138.2931671142578,32.01688003540039,22.284732818603516
2014-01-14 05:00:00,41.45710372924805,13.068845748901367,138.85931396484375,32.03794479370117,22.45076560974121
2014-01-15 05:00:00,42.713600158691406,13.364977836608887,140.5498046875,32.607181549072266,23.2592830657959
2014-01-16 05:00:00,42.354610443115234,13.310428619384766,137.73487854003906,32.60015106201172,23.1004695892334
2014-01-17 05:00:00,41.72276306152344,13.255878448486328,138.60768127441406,32.60015106201172,24.11111068725586
2014-01-21 05:00:00,41.765846252441406,13.255878448486328,136.1859130859375,32.67744827270508,23.555259704589844
2014-01-22 05:00:00,41.34941101074219,13.364977836608887,136.56332397460938,32.79690170288086,23.309816360473633
2014-01-23 05:00:00,40.545257568359375,13.138980865478516,134.25949096679688,32.5720329284668,22.725082397460938
2014-01-24 05:00:00,39.55442810058594,12.81947135925293,131.8140869140625,31.96065330505371,21.981538772583008
2014-01-27 05:00:00,39.55442810058594,12.710363388061523,129.49453735351562,31.995784759521484,21.635026931762695
2014-01-28 05:00:00,40.021114349365234,13.037670135498047,130.7212371826172,32.297977447509766,21.750532150268555
2014-01-29 05:00:00,39.87034606933594,12.998705863952637,128.8733673095703,32.03794479370117,21.64930534362793
2014-01-30 05:00:00,40.20779800415039,13.1935396194458,130.39874267578125,32.361228942871094,21.67822265625
2014-01-31 05:00:00,39.74828338623047,13.05325984954834,129.04640197753906,31.862272262573242,21.338367462158203
2014-02-03 05:00:00,38.994380950927734,12.741540908813477,125.665283203125,31.222774505615234,20.933446884155273
2014-02-04 05:00:00,39.45390319824219,12.741540908813477,127.19072723388672,31.461698532104492,20.98405647277832
2014-02-05 05:00:00,39.64057922363281,12.780500411987305,126.13709259033203,31.291894912719727,21.099750518798828
2014-02-06 05:00:00,40.552433013916016,13.006500244140625,127.18285369873047,31.681026458740234,21.468524932861328
2014-02-07 05:00:00,40.652957916259766,13.107810974121094,127.3243408203125,32.09842300415039,21.468524932861328
2014-02-10 05:00:00,40.739112854003906,13.02988052368164,126.59307098388672,32.204559326171875,21.47576332092285
2014-02-11 05:00:00,41.23453140258789,13.154568672180176,129.25868225097656,32.52293014526367,21.887922286987305
2014-02-12 05:00:00,41.29914093017578,13.05325984954834,128.55889892578125,32.53707504272461,21.808378219604492
2014-02-13 05:00:00,41.66531753540039,13.05325984954834,128.99913024902344,32.52998733520508,21.62760353088379
2014-02-14 05:00:00,41.751487731933594,13.01429271697998,128.7318115234375,32.63612747192383,21.468524932861328
2014-02-18 05:00:00,41.99561309814453,12.835053443908691,129.46310424804688,32.63612747192383,21.37452507019043
