,Gurobi_Optimized,Equal_Weight
2022-01-06 05:00:00,1.0006211251562336,1.001169334940739
2022-01-07 05:00:00,1.0023643647186176,1.0025442149737738
2022-01-10 05:00:00,0.9956201420614718,0.9963494369777165
2022-01-11 05:00:00,0.9935883717878076,1.0014488745784889
2022-01-12 05:00:00,0.9942701565220562,1.002647521350837
2022-01-13 05:00:00,0.9839963134053529,0.993545135220242
2022-01-14 05:00:00,0.9815602218972032,0.9888666641320532
2022-01-18 05:00:00,0.9675455700609152,0.9792010698515571
2022-01-19 05:00:00,0.9737931151785076,0.976698701574412
2022-01-20 05:00:00,0.9707617857491516,0.9712890868033887
2022-01-21 05:00:00,0.9661756561017375,0.9547761902517635
2022-01-24 05:00:00,0.9624573799220743,0.9503032604057012
2022-01-25 05:00:00,0.9602597343122061,0.9502988730467775
2022-01-26 05:00:00,0.9629510914620826,0.9516186375498216
2022-01-27 05:00:00,0.9667366365575716,0.9548037541502763
2022-01-28 05:00:00,0.9823031448222449,0.9838079684534927
2022-01-31 05:00:00,0.9891598399723796,0.993582094858748
2022-02-01 05:00:00,0.992510942486835,1.00246522576612
2022-02-02 05:00:00,1.0032342363829716,1.0088604593793427
2022-02-03 05:00:00,0.9955066838107011,0.9987663508674707
2022-02-04 05:00:00,0.9971102214644683,1.0014578725159256
2022-02-08 05:00:00,0.9974310881770125,1.004904013077017
2022-02-09 05:00:00,0.9978759622723552,1.0106324435098508
2022-02-10 05:00:00,0.9847642385745817,1.0018631066607764
2022-02-11 05:00:00,0.9780764219728821,0.9924349708309225
2022-02-14 05:00:00,0.9738022931480725,0.9903129400138714
2022-02-15 05:00:00,0.9781869503079784,0.9998921163255889
2022-02-16 05:00:00,0.9802038274604986,1.002170236800162
2022-02-17 05:00:00,0.9772919692839915,0.9923081505058916
2022-02-18 05:00:00,0.9735833331120737,0.9874324341973312
2022-02-22 05:00:00,0.9670207111496862,0.9793953757830941
2022-02-23 05:00:00,0.9557713679879493,0.9646669553233757
2022-02-24 05:00:00,0.944788272198559,0.9630306841699108
2022-02-25 05:00:00,0.9755742277713741,0.9853555124928614
2022-02-28 05:00:00,0.9660780035772504,0.9759330733203851
2022-03-01 05:00:00,0.9544424565101466,0.9613262549584071
2022-03-02 05:00:00,0.963864921119403,0.9722510249449212
2022-03-03 05:00:00,0.9633794515348728,0.9689694697618608
2022-03-04 05:00:00,0.9652693863552924,0.9605251203725731
2022-03-08 05:00:00,0.9441463316008707,0.9474367719937629
2022-03-09 05:00:00,0.9479822952992022,0.9608376551859826
2022-03-10 05:00:00,0.939798358291278,0.9539666955930698
2022-03-11 05:00:00,0.9351988953810916,0.9460975846463513
2022-03-14 04:00:00,0.9355141135230461,0.9436718453711368
2022-03-15 04:00:00,0.9522568023017671,0.9631994282371578
2022-03-16 04:00:00,0.9561102414112724,0.9787059170580649
2022-03-17 04:00:00,0.9643374150941086,0.9874786424368864
2022-03-18 04:00:00,0.9658828497859273,0.9935423743335734
2022-03-21 04:00:00,0.973313835467017,0.9962175110348938
2022-03-22 04:00:00,0.9789258981283415,1.0051746581833252
2022-03-23 04:00:00,0.9757959033398163,0.9979722758264896
2022-03-24 04:00:00,0.9840569678915936,1.008296560046114
2022-03-25 04:00:00,0.9935967161889595,1.0158643407420807
2022-03-28 04:00:00,0.9966862750490719,1.0183410577653662
2022-03-29 04:00:00,1.004518704795238,1.031174470001182
2022-03-30 04:00:00,1.0062032271231582,1.0291701282823202
2022-03-31 04:00:00,0.9952578639027705,1.0137094813068006
2022-04-01 04:00:00,1.0043436231882126,1.0200779073634814
2022-04-04 04:00:00,1.0026439996168854,1.0234495730711595
2022-04-05 04:00:00,1.0018058491742707,1.017135998396989
2022-04-07 04:00:00,1.0085017432176724,1.0202574420417276
2022-04-08 04:00:00,1.0100048318271733,1.0224222529027331
2022-04-11 04:00:00,0.9958140708346334,1.0077773981032594
2022-04-12 04:00:00,0.9971777131832373,1.0077793422591022
2022-04-13 04:00:00,1.00507190470359,1.0134934906362225
2022-04-14 04:00:00,1.000793525926298,1.0054241942591526
2022-04-18 04:00:00,0.9958587984625666,1.0034414363720294
2022-04-19 04:00:00,1.01287012163065,1.0194628769240863
2022-04-20 04:00:00,1.0187323377456243,1.0203871438467476
2022-04-21 04:00:00,1.0132858544413728,1.0128076290884158
2022-04-22 04:00:00,0.9973728160759113,0.9903913715980024
2022-04-25 04:00:00,1.0072495626224724,0.9977172923048583
2022-04-26 04:00:00,0.9926871966286246,0.9742130777320991
2022-04-27 04:00:00,0.9963663158631488,0.9846796869081937
2022-04-28 04:00:00,1.0153390140086882,1.0059636700193642
2022-04-29 04:00:00,0.993088231547942,0.978155643415825
2022-05-02 04:00:00,0.9895662695535518,0.9788568724881032
2022-05-03 04:00:00,0.987498028525715,0.9792609910952816
2022-05-04 04:00:00,1.0098526514284012,1.0065013423224711
2022-05-05 04:00:00,0.9886085692177319,0.9782923683283676
2022-05-09 04:00:00,0.9732991094776533,0.9533816641557176
2022-05-10 04:00:00,0.9720029213150604,0.9536954019171715
2022-05-11 04:00:00,0.9677147490507927,0.9444290125684246
2022-05-12 04:00:00,0.9691504913081544,0.9391529195804874
2022-05-13 04:00:00,0.978445390929112,0.9557166970073551
2022-05-16 04:00:00,0.9847047062311712,0.955378846239319
2022-05-17 04:00:00,0.9875474254847771,0.9691909707610445
2022-05-18 04:00:00,0.949091250614358,0.931507730567717
2022-05-19 04:00:00,0.939127669500047,0.9201081567296718
2022-05-20 04:00:00,0.9500022821913618,0.9253043302958558
2022-05-23 04:00:00,0.9719399214914871,0.9552837803255778
2022-05-24 04:00:00,0.9841037957870427,0.9559650670559235
2022-05-25 04:00:00,0.9820401244511209,0.9592441630876426
2022-05-26 04:00:00,0.9884059222280888,0.9718031464583189
2022-05-27 04:00:00,1.0011671604220058,0.990631109610338
2022-05-31 04:00:00,0.9929886913368343,0.9861295182570273
2022-06-01 04:00:00,0.9872491877711116,0.980124191179062
2022-06-02 04:00:00,0.9909581363539185,0.9900598797506289
2022-06-03 04:00:00,0.9865706726543897,0.9788573329255433
2022-06-07 04:00:00,0.9999794982620421,0.9904708549086508
